Timestamp: 20184 Accel X:-0.49 Accel Y:0.58 Accel Z:9.84
Timestamp: 20284 Accel X:-0.48 Accel Y:0.59 Accel Z:9.87
Timestamp: 20384 Accel X:-0.47 Accel Y:0.58 Accel Z:9.83
Timestamp: 20484 Accel X:-0.47 Accel Y:0.58 Accel Z:9.85
Timestamp: 20584 Accel X:-0.45 Accel Y:0.57 Accel Z:9.85
Timestamp: 20685 Accel X:-0.47 Accel Y:0.55 Accel Z:9.81
Timestamp: 20785 Accel X:-0.46 Accel Y:0.57 Accel Z:9.85
Timestamp: 20885 Accel X:-0.51 Accel Y:0.56 Accel Z:9.84
Timestamp: 20985 Accel X:-0.46 Accel Y:0.58 Accel Z:9.84
Timestamp: 21085 Accel X:-0.46 Accel Y:0.59 Accel Z:9.83
Timestamp: 21185 Accel X:-0.46 Accel Y:0.56 Accel Z:9.85
Timestamp: 21285 Accel X:-0.46 Accel Y:0.59 Accel Z:9.82
Timestamp: 21385 Accel X:-0.47 Accel Y:0.58 Accel Z:9.84
Timestamp: 21485 Accel X:-0.48 Accel Y:0.55 Accel Z:9.83
Timestamp: 21585 Accel X:-0.45 Accel Y:0.55 Accel Z:9.85
Timestamp: 21685 Accel X:-0.46 Accel Y:0.55 Accel Z:9.82
Timestamp: 21785 Accel X:-0.49 Accel Y:0.59 Accel Z:9.83
Timestamp: 21885 Accel X:-0.47 Accel Y:0.57 Accel Z:9.83
Timestamp: 21985 Accel X:-0.47 Accel Y:0.58 Accel Z:9.82
Timestamp: 22085 Accel X:-0.48 Accel Y:0.58 Accel Z:9.85
Timestamp: 22185 Accel X:-0.46 Accel Y:0.60 Accel Z:9.81
Timestamp: 22285 Accel X:-0.49 Accel Y:0.57 Accel Z:9.84
Timestamp: 22385 Accel X:-0.46 Accel Y:0.59 Accel Z:9.84
Timestamp: 22485 Accel X:-0.48 Accel Y:0.57 Accel Z:9.85
Timestamp: 22585 Accel X:-0.44 Accel Y:0.59 Accel Z:9.86
Timestamp: 22685 Accel X:-0.48 Accel Y:0.58 Accel Z:9.85
Timestamp: 22785 Accel X:-0.49 Accel Y:0.52 Accel Z:9.83
Timestamp: 22885 Accel X:-0.46 Accel Y:0.57 Accel Z:9.84
